Respondent_Serial,Wavemarker,Weightvar,resp_gender,resp_age,census_region,state,urb_rur,gender,gender_other,sexual_orientation,sexual_other,hurricane_type,flood_type,wildfire_type,tornado_type,earthquake_type,ice_storm_type,hazardous_type,other_type,none_type,concern_disaster,prepared_disaster,ever_evacuate,long_away,evacuated_pet_owner,dog_left_behind,cat_left_behind,horse_left_behind,small_left_behind,livestock_left_behind,none_left_behind,pet_friendly_accom_reason,transportation_reason,carrier_reason,time_reason,financal_reason,fine_reason,not_home_reason,behaviour_reason,other_reason,other_text_reason,disaster_plan,dog_current_own,cat_current_own,horse_current_own,small_current_own,livestock_current_own,would_bring_pet,secured_transportation,secured_emergency_housing,travel_carrier,food_water,litter,pet_id,medication,other_supplies,none_supplies,none,microchip_have,id_have,none_have,support_gov_fund,advice_pet,living_situation,marital,household_income,education,race,white_race,black_race,native_race,asian_race,pacific_islander_race,other_race,perfer_not_race,hispanic_ethnicity,household_grou,age_children,num_children
5,1,0.89,Male,51,West,Washington,Urban,Man,,Straight/heterosexual,,No,No,Yes,No,Yes,No,No,No,No,Very concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Not sure,1,1,0,0,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,No,Yes,No,Not sure,Its really important to have some kind of portable carrier for your pets,Rent,"Single, never married","$10,000-$14,999",Regular High School Diploma,Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,All of it,13-17 Only,1
7,1,1.57,Female,36,Northeast,New York,Rural,Woman,,Straight/heterosexual,,No,Yes,No,No,No,Yes,No,No,No,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,3,1,,,,Yes,No,No,No,No,No,No,No,No,Yes,,Yes,No,No,Yes,have the essentials for at least a week per animal.,Own a house,Married,"$20,000-$24,999","1 or more years of college credit, no degree",Hispanic or Latino (White or Caucasian),Yes,No,No,No,No,No,No,Yes,All of it,13-17 Only,1
11,1,0.46,Male,52,West,California,Urban,Man,,Gay,,No,No,No,No,Yes,No,No,No,No,Very concerned,Very prepared,No,,,,,,,,,,,,,,,,,,,No,1,,,,,Yes,No,No,No,Yes,No,No,No,No,No,,No,Yes,No,No,have the collar close,Own a house,"Single, never married","$50,000-$54,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
58,1,0.46,Male,46,West,Wyoming,Rural,Man,,Straight/heterosexual,,No,No,No,Yes,No,Yes,No,Yes,No,Neither concerned nor not concerned,Very prepared,No,,,,,,,,,,,,,,,,,,,Yes,2,3,3,,,Not sure,No,No,No,Yes,No,No,No,No,No,,No,Yes,No,Yes,Keep up-to-date records hand and in one place,Own a house,Married,"$60,000-$64,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
59,1,0.51,Female,47,West,Washington,Urban,Woman,,Straight/heterosexual,,No,No,Yes,No,No,No,No,No,No,Somewhat concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,Not sure,Leave them at shelter,Own a condo/co-op,Widowed,"$50,000-$54,999","Bachelor's degree (BA, BS, etc.)",Other,No,No,No,No,No,Yes,No,No,All of it,None Under 18,0
60,1,0.62,Male,45,Midwest,Illinois,Suburban,Man,,Straight/heterosexual,,Yes,Yes,No,No,No,No,No,No,No,Neither concerned nor not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,Have a plan,Own a condo/co-op,"Single, never married","$5,000-$9,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
61,1,0.46,Female,47,West,California,Urban,Woman,,Straight/heterosexual,,No,No,No,No,Yes,No,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,1,,,,,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,,No,Yes,No,No,stay calm,Rent,"Single, never married","$55,000-$59,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
63,1,0.48,Female,51,Midwest,Ohio,Rural,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Neither concerned nor not concerned,Neither prepared nor not prepared,Yes,4-7 days,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,they live in the barn,Yes,1,2,0,0,0,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,Not sure,prepare for the worst and pray for the best,Own a house,Married,"$60,000-$64,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
66,1,0.8,Male,63,Midwest,Illinois,Suburban,Man,,Straight/heterosexual,,No,Yes,No,Yes,No,No,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,Try to prepare relatives to help you out housing your pet,Own a condo/co-op,Divorced or separated,"$15,000-$19,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
68,1,2.72,Female,36,South,Florida,Urban,Two Spirit,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Very concerned,Very prepared,Yes,4-7 days,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,Yes,1,1,,,,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,Yes,excelente,Own a house,Married,"$100,000-$124,999","Professional degree (MD, DDS, JD, etc.)",Hispanic or Latino (White or Caucasian),Yes,No,No,No,No,No,No,Yes,All of it,6-12 Only,1
